"INDICADOR" "NOTA" "DESDE" "HASTA"
" Tasa de mortalidad, bebés (por cada 1.000 nacidos vivos)" "La tasa de mortalidad infantil es la cantidad de infantes que mueren antes de llegar al año de vida, por cada 1000 nacidos vivos, en un año determinado." 1970 2017
" Tasa de mortalidad, neonatal (por cada 1.000 nacidos vivos)" "La tasa de mortalidad neonatal es el número de recién nacidos que mueren antes de alcanzar los 28 días de edad, por cada 1.000 nacidos vivos en un año determinado." 1970 2017
"Activos exteriores netos (UMN a precios actuales)" "Los activos exteriores netos son la suma de los activos en el exterior en poder de autoridades monetarias y de bancos creadores de dinero, menos sus pasivos frente al exterior. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Adolescentes que no asisten a la escuela (% de adolescentes en edad de asistir al ciclo inferior de la escuela secundaria)" "Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school." 1998 2017
"Adolescentes que no asisten a la escuela, mujeres (% de mujeres en edad de asistir al ciclo inferior de la escuela secundaria)" "Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school." 1998 2017
"Adolescentes que no asisten a la escuela, varones (% de varones en edad de asistir al ciclo inferior de la escuela secundaria)" "Adolescents out of school are the percentage of lower secondary school age adolescents who are not enrolled in school." 1998 2017
"Adquisición neta de activos financieros (% del PIB)" "Net acquisition of government financial assets includes domestic and foreign financial claims, SDRs, and gold bullion held by monetary authorities as a reserve asset. The net acquisition of financial assets should be offset by the net incurrence of liabilities." 1990 2007
"Adquisición neta de activos financieros (UMN actual)" "Net acquisition of government financial assets includes domestic and foreign financial claims, SDRs, and gold bullion held by monetary authorities as a reserve asset. The net acquisition of financial assets should be offset by the net incurrence of liabilities." 1990 2007
"Aduana y otros impuestos a las importaciones (% de la recaudación impositiva)" "Los derechos aduaneros y otros impuestos a la importación son todos los gravámenes cobrados por bienes que ingresan en el país o servicios que prestan no residentes a residentes. Incluyen gravámenes impuestos para  el ingreso o con fines de protección y determinados de manera específica o ad valórem siempre y cuando estén restringidos a bienes o servicios importados." 1985 2007
"Aduana y otros impuestos a las importaciones (UMN a precios actuales)" "Los derechos aduaneros y otros impuestos a la importación son todos los gravámenes cobrados por bienes que ingresan en el país o servicios que prestan no residentes a residentes. Incluyen gravámenes impuestos para  el ingreso o con fines de protección y determinados de manera específica o ad valórem siempre y cuando estén restringidos a bienes o servicios importados." 1985 2007
"Adultos (de 15 años en adelante) recientemente infectados por el VIH" "Number of adults (ages 15+) newly infected with HIV." 1990 2017
"Adultos (de 15 años en adelante) y niños (de 0 a 14 años) recientemente infectados por el VIH" "Number of adults (ages 15+) and children (ages 0-14) newly infected with HIV." 1990 2017
"Agricultura, valor agregado (% del crecimiento anual)" "Tasa de crecimiento anual del valor agregado agrícola en moneda local, a precios constantes. Los agregados están expresados en dólares de los Estados Unidos a precios constantes del año 2010. La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3." 1970 2017
"Agricultura, valor agregado (% del PIB)" "La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Nota: Para los países que contabilizan en base valor agregado, se utiliza como denominador el valor agregado bruto al costo de los factores." 1970 2017
"Agricultura, valor agregado (UMN a precios actuales)" "La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Agricultura, valor agregado (UMN: Unidades de moneda nacional, a precios constantes)" "La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos están expresados en moneda local, a precios constantes." 1970 2017
"Agricultura, valor agregado (US$ a precios actuales)" "La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. El origen del valor agregado de determina a partir de la CIIU, Revisión 3. Los datos se expresan en dólares de los Estados Unidos a precios corrientes." 1970 2017
"Agricultura, valor agregado (US$ a precios constantes de 2010)" "La agricultura corresponde a las divisiones 1-5 de la CIIU e incluye la silvicultura, la caza y la pesca, además del cultivo de cosechas y la cría de animales. El valor agregado es la producción neta de un sector después de sumar todos los productos y restar los insumos intermedios. Se calcula sin hacer deducciones por depreciación de bienes manufacturados o por agotamiento y degradación de recursos naturales. The origin of value added is determined by the International Standard Industrial Classification (ISIC), revision 3. Data are in constant 2000 U.S. dollars." 1970 2017
"Ahorro ajustado: agotamiento de fuentes de energía (% del INB)" "El agotamiento de fuentes de energía equivale al producto de la renta unitaria de los recursos y las cantidades físicas de la energía extraída. Comprende petróleo crudo, gas natural y carbón." 1970 2016
"Ahorro ajustado: agotamiento de fuentes de energía (US$ actuales)" "El agotamiento de fuentes de energía equivale al producto de la renta unitaria de los recursos y las cantidades físicas de la energía extraída. Comprende petróleo crudo, gas natural y carbón." 1970 2016
"Ahorro ajustado: agotamiento de minerales (% del INB)" "El agotamiento de minerales es igual al producto de la renta unitaria de los recursos y las cantidades físicas de los minerales extraídos. Comprende bauxita, cobre, hierro, plomo, níquel, fosfato, latón, zinc, oro y plata." 1970 2016
"Ahorro ajustado: agotamiento de minerales (US$ actuales)" "El agotamiento de minerales es igual al producto de la renta unitaria de los recursos y las cantidades físicas de los minerales extraídos. Comprende bauxita, cobre, hierro, plomo, níquel, fosfato, latón, zinc, oro y plata." 1970 2016
"Ahorro ajustado: agotamiento neto de recursos forestales (% del INB)" "El agotamiento neto de recursos forestales se calcula como el producto de la renta unitaria de los recursos y el excedente de la cosecha de rollizos sobre el crecimiento natural." 1970 2016
"Ahorro ajustado: agotamiento neto de recursos forestales (US$ a precios actuales)" "El agotamiento neto de recursos forestales se calcula como el producto de la renta unitaria de los recursos y el excedente de la cosecha de rollizos sobre el crecimiento natural." 1970 2016
"Ahorro ajustado: ahorro bruto (% del INB)" "El ahorro bruto es la diferencia entre el ingreso nacional bruto y el consumo público y privado, más las transferencias corrientes netas." 1976 2016
"Ahorro ajustado: ahorro nacional neto (% del INB)" "El ahorro nacional neto es igual al ahorro nacional bruto menos el valor del consumo de capital fijo." 1976 2016
"Ahorro ajustado: ahorro nacional neto (US$ actuales)" "El ahorro nacional neto es igual al ahorro nacional bruto menos el valor del consumo de capital fijo." 1976 2016
"Ahorro ajustado: consumo de capital fijo (% del INB)" "El consumo de capital fijo representa el valor de reposición del capital utilizado en su totalidad durante el proceso de producción." 1970 2016
"Ahorro ajustado: consumo de capital fijo (US$ actuales)" "El consumo de capital fijo representa el valor de reposición del capital utilizado en su totalidad durante el proceso de producción." 1970 2016
"Ahorro ajustado: daño por emisión de dióxido de carbono (% del INB)" "El daño por emisión de dióxido de carbono se estima en US$20 por tonelada de carbono (daño unitario en dólares de los Estados Unidos de 1995) multiplicado por la cantidad de toneladas de carbono emitidas." 1970 2016
